Site,Archive or Source (site visit),Location in Archive or Date of My Visit,Type,Item (File Name),Title,PDF?
Bernau,Bauhaus Archiv,Mappe 22,Article,Adolf Behne.pdf,"Bundesschule des ADGB, Bernau (1928)",Yes
Bernau,Bauhaus Archiv,Mappe 22,Article,DSC03389.JPG,"Bundesschule des ADGB, Bernau (1928)",
Bernau,Bauhaus Archiv,Mappe 22,Article,DSC03390.JPG,"Bundesschule des ADGB, Bernau (1928)",
Bernau,Bauhaus Archiv,Mappe 22,Article,DSC03391.JPG,"Bundesschule des ADGB, Bernau (1928)",
Bernau,Bauhaus Archiv,Mappe 22,Article,DSC03392.JPG,"Bundesschule des ADGB, Bernau (1928)",
Bernau,Bauhaus Archiv,Mappe 22,Article,DSC03393.JPG,"Bundesschule des ADGB, Bernau (1928)",
Bernau,Bauhaus Archiv,Mappe 22,Article,DSC03394.JPG,"Bundesschule des ADGB, Bernau (1928)",
Bernau,Bauhaus Archiv,Mappe 22,Article,DSC03395.JPG,"Bundesschule des ADGB, Bernau (1928)",
Bernau,Bauhaus Archiv,Mappe 22,Article,DSC03396.JPG,"Bundesschule des ADGB, Bernau (1928)",
Bernau,Bauhaus Archiv,Mappe 22,Article,DSC03397.JPG,"Bundesschule des ADGB, Bernau (1928)",
Bernau,Bauhaus Archiv,Mappe 5,Article,DSC03364.JPG,Ein Wochenende in Bernau (1932),
Bernau,Bauhaus Archiv,Mappe 5,Article,DSC03365.JPG,Ein Wochenende in Bernau (1932),
Bernau,Bauhaus Archiv,Mappe 5,Article,Kläre Schuch.pdf,Ein Wochenende in Bernau (1932),Yes
Bernau,Bauhaus Archiv,Mappe Unknown,Brochure,ADGB post-renovation brochure.pdf,Baudenkmal Bundeschule Bernau (2007?),Yes
Bernau,Bauhaus Archiv,Mappe Unknown,Brochure,DSC03250.JPG,Baudenkmal Bundeschule Bernau (2007?),
Bernau,Bauhaus Archiv,Mappe Unknown,Brochure,DSC03251.JPG,Baudenkmal Bundeschule Bernau (2007?),
Bernau,Bauhaus Archiv,Mappe Unknown,Brochure,DSC03252.JPG,Baudenkmal Bundeschule Bernau (2007?),
Bernau,Bauhaus Archiv,Mappe Unknown,Brochure,DSC03253.JPG,Baudenkmal Bundeschule Bernau (2007?),
